,htsc_code,time,frequency,open,close,high,low,volume,value,open_interest,settle
0,AU2409.SHF,2024-06-18 15:19:19.000,daily,550.62,551.88,554.64,550.54,299.0,165115540.0,153.0,552.22
1,AU2409.SHF,2024-06-19 15:15:21.000,daily,550.5,553.86,554.06,550.5,55.0,30411260.0,154.0,552.92
2,AU2409.SHF,2024-06-20 15:20:03.000,daily,553.6,558.06,558.58,553.56,319.0,177210760.0,106.0,555.5
3,AU2409.SHF,2024-06-21 15:16:25.500,daily,557.52,561.14,562.96,557.38,112.0,62835180.0,96.0,561.02
4,AU2409.SHF,2024-06-24 15:49:14.000,daily,561.76,552.74,562.28,551.64,112.0,62262560.0,87.0,555.9
5,AU2409.SHF,2024-06-25 15:13:33.500,daily,553.16,553.82,555.8,553.0,142.0,78670260.0,86.0,554.0
6,AU2409.SHF,2024-06-26 15:14:35.000,daily,553.5,550.2,553.96,548.12,87.0,47987380.0,83.0,551.56
7,AU2409.SHF,2024-06-27 15:18:17.000,daily,549.6,546.62,549.6,545.36,104.0,56843480.0,95.0,546.56
8,AU2409.SHF,2024-06-28 15:19:18.500,daily,551.74,553.06,553.06,550.28,111.0,61229060.0,84.0,551.6
9,AU2409.SHF,2024-07-01 15:19:24.000,daily,554.5,553.04,555.48,550.98,181.0,100125260.0,91.0,553.16
10,AU2409.SHF,2024-07-02 15:16:45.500,daily,552.7,553.7,554.58,551.7,108.0,59788920.0,104.0,553.6
11,AU2409.SHF,2024-07-03 15:15:28.000,daily,553.14,557.72,557.72,552.82,175.0,96955860.0,142.0,554.02
12,AU2409.SHF,2024-07-04 15:16:11.500,daily,559.22,559.78,561.68,558.64,188.0,105372160.0,141.0,560.48
13,AU2409.SHF,2024-07-05 15:19:34.500,daily,560.14,561.46,561.72,559.58,69.0,38690880.0,150.0,560.72
14,AU2409.SHF,2024-07-08 15:16:01.500,daily,563.14,562.6,567.0,562.02,488.0,275832440.0,143.0,565.22
15,AU2409.SHF,2024-07-09 15:13:24.000,daily,561.6,560.04,563.28,557.66,158.0,88563780.0,160.0,560.52
16,AU2409.SHF,2024-07-10 15:26:06.500,daily,559.4,562.78,562.98,558.24,444.0,249291000.0,322.0,561.46
17,AU2409.SHF,2024-07-11 15:19:09.500,daily,564.26,564.46,565.82,562.48,278.0,156861740.0,331.0,564.24
18,AU2409.SHF,2024-07-12 15:16:51.000,daily,569.84,566.84,571.46,565.94,1222.0,694617420.0,246.0,568.42
19,AU2409.SHF,2024-07-15 15:51:00.500,daily,565.8,567.06,569.92,564.92,141.0,80071960.0,232.0,567.88
20,AU2409.SHF,2024-07-16 15:16:03.000,daily,569.42,573.98,573.98,568.42,1152.0,658375700.0,348.0,571.5
21,AU2409.SHF,2024-07-17 15:15:24.000,daily,573.84,579.96,584.26,573.64,1986.0,1152716800.0,331.0,580.42
22,AU2409.SHF,2024-07-18 15:15:46.500,daily,581.32,580.22,582.76,574.88,1024.0,594153740.0,302.0,580.22
23,AU2409.SHF,2024-07-19 15:15:48.500,daily,578.96,565.3,579.2,563.16,414.0,237216860.0,297.0,572.98
24,AU2409.SHF,2024-07-22 15:16:10.000,daily,562.0,564.12,566.02,558.68,454.0,255668520.0,227.0,563.14
25,AU2409.SHF,2024-07-23 15:15:11.500,daily,564.12,561.28,565.6,560.1,285.0,160332960.0,222.0,562.56
26,AG2409.SHF,2024-05-06 15:29:24.500,daily,6956.0,7070.0,7082.0,6932.0,16477.0,1735677900.0,21345.0,7022.0
27,AG2409.SHF,2024-05-07 15:16:26.000,daily,7109.0,7114.0,7177.0,7095.0,32625.0,3491752245.0,21994.0,7135.0
28,AG2409.SHF,2024-05-08 15:15:08.000,daily,7134.0,7126.0,7164.0,7070.0,30345.0,3242954055.0,21722.0,7124.0
29,AG2409.SHF,2024-05-09 15:14:10.000,daily,7127.0,7177.0,7209.0,7100.0,30655.0,3284076630.0,21727.0,7142.0
30,AG2409.SHF,2024-05-10 15:18:53.000,daily,7222.0,7428.0,7428.0,7166.0,59435.0,6508686210.0,24211.0,7300.0
31,AG2409.SHF,2024-05-13 15:17:00.000,daily,7395.0,7319.0,7399.0,7267.0,46799.0,5149062705.0,23079.0,7335.0
32,AG2409.SHF,2024-05-14 15:16:23.500,daily,7371.0,7331.0,7388.0,7284.0,35792.0,3938145165.0,23482.0,7335.0
33,AG2409.SHF,2024-05-15 16:01:06.000,daily,7357.0,7383.0,7415.0,7343.0,37909.0,4190461620.0,24019.0,7369.0
34,AG2409.SHF,2024-05-16 15:22:48.500,daily,7468.0,7579.0,7660.0,7369.0,72909.0,8229509175.0,26891.0,7524.0
35,AG2409.SHF,2024-05-17 15:16:31.000,daily,7589.0,7649.0,7649.0,7557.0,45827.0,5223922065.0,25462.0,7599.0
