htsc_code,time,frequency,open,close,high,low,volume,value,open_interest,settle
AG2410.SHF,20240801,daily,7455.0,7502.0,7557.0,7433.0,263682.0,29634657045.0,211046.0,7492.0
AG2410.SHF,20240802,daily,7530.0,7472.0,7549.0,7291.0,302671.0,33687780195.0,202133.0,7420.0
AU2410.SHF,20240801,daily,566.52,570.9,573.48,565.5,228522.0,130060165520.0,178178.0,569.12
AU2410.SHF,20240802,daily,572.42,574.04,574.3,568.18,263385.0,150570265740.0,180478.0,571.66
CU2410.SHF,20240801,daily,74850.0,74900.0,75620.0,74680.0,53443.0,20063227550.0,102335.0,75080.0
CU2410.SHF,20240802,daily,74570.0,73810.0,74990.0,73390.0,74374.0,27566233800.0,107649.0,74120.0
EC2410.INE,20240801,daily,3505.3,3515.0,3575.0,3394.0,42401.0,7373097530.0,28535.0,3477.7
EC2410.INE,20240802,daily,3489.0,3653.0,3677.9,3460.0,33467.0,5966265955.0,26436.0,3565.4
SC2410.INE,20240801,daily,581.1,589.4,590.3,576.8,30365.0,17716192800.0,12163.0,583.4
SC2410.INE,20240802,daily,590.0,577.5,590.7,576.0,22483.0,13076904400.0,13273.0,581.6
V2410.DCE,20240801,daily,5742.0,5721.0,5795.0,5713.0,8660.0,249210455.0,15020.0,5755.0
V2410.DCE,20240802,daily,5719.0,5743.0,5754.0,5707.0,5271.0,151124530.0,15035.0,5734.0
