,htsc_code,time,frequency,open,close,high,low,volume,value
0,000001.SH,2024-07-01 15:59:33,daily,2965.2452,2994.7303,2996.4086,2961.8556,29778223500.0,294321888831.5
1,000001.SH,2024-07-02 15:59:33,daily,2992.8556,2997.0111,3004.987,2989.4701,28136468300.0,282559369534.8
2,000001.SH,2024-07-03 15:59:33,daily,2995.6642,2982.3756,2998.5369,2978.0686,24628464200.0,257840296826.7
3,000001.SH,2024-07-04 15:59:33,daily,2984.8303,2957.567,2995.5695,2955.2895,27426878900.0,259006711039.2
4,000001.SH,2024-07-05 15:59:33,daily,2954.3723,2949.9333,2957.1069,2920.2046,27232455600.0,271508929397.0
5,000001.SH,2024-07-08 15:59:33,daily,2939.8367,2922.4498,2947.61,2917.2322,27753342400.0,270872022898.5
6,000001.SH,2024-07-09 15:59:33,daily,2919.5729,2959.3724,2963.7822,2904.0389,31506203100.0,320361092785.2
7,000001.SH,2024-07-10 15:59:33,daily,2949.0261,2939.3636,2958.8594,2935.3304,30154945600.0,306035255361.7
8,000001.SH,2024-07-11 15:59:33,daily,2957.2502,2970.3874,2971.3608,2947.4027,32837242400.0,337653177135.1
9,000001.SH,2024-07-12 15:59:32,daily,2965.6121,2971.295,2977.1417,2963.3033,30371301400.0,302581575978.9
10,000001.SH,2024-07-15 15:59:33,daily,2963.8472,2974.0107,2977.3126,2959.1288,26899259700.0,268733339473.8
11,000001.SH,2024-07-16 15:59:33,daily,2963.9001,2976.3043,2977.3613,2959.6655,26078363000.0,279121370473.0
12,000001.SH,2024-07-17 15:59:33,daily,2970.8081,2962.8549,2972.7949,2957.948,28230799100.0,305469105978.3
13,000001.SH,2024-07-18 15:59:33,daily,2951.1434,2977.1334,2978.0919,2937.9045,27802266500.0,301283750604.7
14,000001.SH,2024-07-19 15:59:33,daily,2963.5144,2982.3086,2986.2425,2955.1199,28093241300.0,319112460470.1
15,000001.SH,2024-07-22 15:59:33,daily,2978.1932,2964.2155,2978.6007,2946.5608,27874955900.0,316415459855.2
