htsc_code,time,frequency,open,close,high,low,volume,value
000001.SH,20240801,daily,2940.12,2932.3871,2947.8768,2928.8262,34662113700.0,352586120370.1
000001.SH,20240802,daily,2913.0198,2905.3375,2931.2593,2902.7202,31220503900.0,314917985409.5
000016.SH,20240801,daily,2373.4708,2360.422,2375.7914,2360.0476,3913415200.0,58367024186.0
000016.SH,20240802,daily,2344.4182,2343.7153,2360.4137,2337.6377,3182747400.0,49775530749.0
000300.SH,20240801,daily,3443.1397,3419.2666,3448.3361,3419.1872,13632346400.0,206038002517.7
000300.SH,20240802,daily,3393.9167,3384.3919,3419.1023,3380.9645,11661525500.0,179671192427.6
000688.SH,20240801,daily,745.9636,738.8706,748.7677,735.5762,1829440600.0,50371892748.0
000688.SH,20240802,daily,730.6522,725.6603,742.2321,723.5557,1658642800.0,45476228459.0
000849.SH,20240801,daily,7382.5053,7403.8483,7456.0739,7368.8557,1528466500.0,18451780989.0
000849.SH,20240802,daily,7364.2502,7265.1524,7403.844,7248.0196,1127703600.0,13796694487.0
000905.SH,20240801,daily,4893.8709,4852.9725,4928.2412,4834.6536,11321339300.0,119765528788.7
000905.SH,20240802,daily,4816.9369,4788.6159,4874.7114,4783.115,9852984400.0,105654740577.4
399006.SZ,20240801,daily,1690.2188,1665.9729,1694.5907,1663.0753,15298802052.0,199016642516.1
399006.SZ,20240802,daily,1649.8431,1638.3043,1671.3567,1635.4355,15257143384.0,192044651251.68
399852.SZ,20240801,daily,4894.8088,4878.289,4933.0606,4850.6329,14642142100.0,150211396562.7
399852.SZ,20240802,daily,4844.7776,4809.8891,4902.9414,4802.0222,13798976700.0,141716564224.7
