htsc_code,name,ymd,open,close,high,low,volume
000001.SH,上证指数,20240801,2940.12,2932.3871,2947.8768,2928.8262,34662113700.0
000001.SH,上证指数,20240802,2913.0198,2905.3375,2931.2593,2902.7202,31220503900.0
000001.SH,上证指数,20240805,2889.3634,2860.6978,2919.0252,2860.6978,35554057200.0
000001.SH,上证指数,20240806,2878.6508,2867.2837,2888.2009,2845.335,29730080300.0
000001.SH,上证指数,20240807,2864.0101,2869.8338,2886.9417,2857.7247,26309715000.0
000001.SH,上证指数,20240808,2864.758,2869.9014,2886.3994,2850.8745,28912863200.0
000016.SH,上证50,20240801,2373.4708,2360.422,2375.7914,2360.0476,3913415200.0
000016.SH,上证50,20240802,2344.4182,2343.7153,2360.4137,2337.6377,3182747400.0
000016.SH,上证50,20240805,2334.5923,2328.9222,2362.3096,2327.7452,3945745800.0
000016.SH,上证50,20240806,2342.8423,2313.3361,2346.2994,2296.7121,3487371300.0
000016.SH,上证50,20240807,2311.9113,2314.4261,2330.1519,2307.0776,2714599100.0
000016.SH,上证50,20240808,2310.9616,2320.4245,2334.4621,2305.8931,2252893600.0
000300.SH,沪深300,20240801,3443.1397,3419.2666,3448.3361,3419.1872,13632346400.0
000300.SH,沪深300,20240802,3393.9167,3384.3919,3419.1023,3380.9645,11661525500.0
000300.SH,沪深300,20240805,3362.1117,3343.3205,3409.0314,3343.3205,14281251600.0
000300.SH,沪深300,20240806,3367.3517,3342.9789,3376.7956,3318.6251,11934027900.0
000300.SH,沪深300,20240807,3338.5909,3341.489,3362.3839,3329.9658,9508437700.0
000300.SH,沪深300,20240808,3332.4281,3342.9369,3364.7855,3320.8432,9249569500.0
000688.SH,科创50,20240801,745.9636,738.8706,748.7677,735.5762,1829440600.0
000688.SH,科创50,20240802,730.6522,725.6603,742.2321,723.5557,1658642800.0
000688.SH,科创50,20240805,719.1563,704.2959,730.2852,704.2633,1880254000.0
000688.SH,科创50,20240806,714.4886,713.8638,717.189,705.0205,1471506800.0
000688.SH,科创50,20240807,712.7362,707.5875,716.2555,706.8294,1289691500.0
000688.SH,科创50,20240808,703.055,708.9226,716.6017,699.7005,1389126100.0
000849.SH,300非银,20240801,7382.5053,7403.8483,7456.0739,7368.8557,1528466500.0
000849.SH,300非银,20240802,7364.2502,7265.1524,7403.844,7248.0196,1127703600.0
000849.SH,300非银,20240805,7232.1718,7254.9813,7368.8608,7232.0541,1179962500.0
000849.SH,300非银,20240806,7314.7407,7160.4694,7332.8763,7106.2002,996838400.0
000849.SH,300非银,20240807,7159.5762,7125.5014,7197.4668,7117.607,698658000.0
000849.SH,300非银,20240808,7118.7221,7140.0932,7211.7437,7088.8611,830952300.0
000905.SH,中证500,20240801,4893.8709,4852.9725,4928.2412,4834.6536,11321339300.0
000905.SH,中证500,20240802,4816.9369,4788.6159,4874.7114,4783.115,9852984400.0
000905.SH,中证500,20240805,4756.0755,4693.8478,4846.542,4693.8165,11333814800.0
000905.SH,中证500,20240806,4740.4539,4750.776,4774.9279,4699.1769,10777477000.0
000905.SH,中证500,20240807,4747.9803,4751.9408,4783.4202,4719.938,9698948100.0
000905.SH,中证500,20240808,4737.0927,4755.8149,4791.6592,4701.7856,10430925300.0
399002.SZ,深成指,20240801,11493.911,11371.0082,11535.5544,11349.2041,12058710930.0
399002.SZ,深成指,20240802,11273.3351,11213.6774,11402.3828,11199.0507,11100795366.0
399002.SZ,深成指,20240805,11111.2908,11005.888,11336.0,11005.8699,12907387026.0
399002.SZ,深成指,20240806,11119.7442,11096.3205,11177.41,10997.2036,11996142836.0
399002.SZ,深成指,20240807,11078.7836,11077.5974,11150.4268,11033.8953,10203738711.0
399002.SZ,深成指,20240808,11033.6535,11074.463,11164.2244,10963.5042,10555530549.0
399006.SZ,创业板指,20240801,1690.2188,1665.9729,1694.5907,1663.0753,15298802052.0
399006.SZ,创业板指,20240802,1649.8431,1638.3043,1671.3567,1635.4355,15257143384.0
399006.SZ,创业板指,20240805,1621.1881,1607.2884,1656.0902,1607.2446,16097551749.0
399006.SZ,创业板指,20240806,1628.1164,1627.3554,1638.4799,1612.0003,13507272870.0
399006.SZ,创业板指,20240807,1624.0634,1620.3315,1632.6448,1618.3941,12727404830.0
399006.SZ,创业板指,20240808,1611.2619,1611.5085,1628.6648,1598.6795,14073768007.0
399852.SZ,中证1000,20240801,4894.8088,4878.289,4933.0606,4850.6329,14642142100.0
399852.SZ,中证1000,20240802,4844.7776,4809.8891,4902.9414,4802.0222,13798976700.0
399852.SZ,中证1000,20240805,4776.1816,4678.7753,4854.5904,4678.7393,15284748500.0
399852.SZ,中证1000,20240806,4731.1959,4749.9466,4766.2733,4695.637,12709764100.0
399852.SZ,中证1000,20240807,4741.6513,4743.41,4772.2059,4715.5287,11261928400.0
399852.SZ,中证1000,20240808,4728.3303,4739.4933,4776.4878,4677.4254,12674657200.0
