ymd,htsc_code,name,exchange
20240720,600095.SH,湘财股份,XSHG
20240720,600699.SH,均胜电子,XSHG
20240720,600418.SH,江淮汽车,XSHG
20240720,600741.SH,华域汽车,XSHG
20240720,600592.SH,龙溪股份,XSHG
20240720,600597.SH,光明乳业,XSHG
20240720,600039.SH,四川路桥,XSHG
20240720,600211.SH,西藏药业,XSHG
20240720,600312.SH,平高电气,XSHG
20240720,600676.SH,交运股份,XSHG
20240720,600739.SH,辽宁成大,XSHG
20240720,600463.SH,空港股份,XSHG
20240720,600638.SH,新黄浦,XSHG
20240720,600018.SH,上港集团,XSHG
20240720,600988.SH,赤峰黄金,XSHG
20240720,600191.SH,华资实业,XSHG
20240720,600310.SH,广西能源,XSHG
20240720,600573.SH,惠泉啤酒,XSHG
20240720,600252.SH,中恒集团,XSHG
20240720,600519.SH,贵州茅台,XSHG
20240720,600572.SH,康恩贝,XSHG
20240720,600648.SH,外高桥,XSHG
20240720,600333.SH,长春燃气,XSHG
20240720,600619.SH,海立股份,XSHG
20240720,600132.SH,重庆啤酒,XSHG
20240720,600635.SH,大众公用,XSHG
20240720,600099.SH,林海股份,XSHG
20240720,600429.SH,三元股份,XSHG
20240720,000955.SZ,欣龙控股,XSHE
20240720,600248.SH,陕建股份,XSHG
20240720,600315.SH,上海家化,XSHG
20240720,600000.SH,浦发银行,XSHG
20240720,600665.SH,天地源,XSHG
20240720,600439.SH,瑞贝卡,XSHG
20240720,600101.SH,明星电力,XSHG
20240720,600232.SH,金鹰股份,XSHG
20240720,600446.SH,金证股份,XSHG
20240720,600426.SH,华鲁恒升,XSHG
20240720,600079.SH,人福医药,XSHG
20240720,600433.SH,冠豪高新,XSHG
20240720,600081.SH,东风科技,XSHG
20240720,600343.SH,航天动力,XSHG
20240720,600705.SH,中航产融,XSHG
20240720,600235.SH,民丰特纸,XSHG
20240720,600338.SH,西藏珠峰,XSHG
20240720,600736.SH,苏州高新,XSHG
20240720,600166.SH,福田汽车,XSHG
20240720,600011.SH,华能国际,XSHG
20240720,600583.SH,海油工程,XSHG
20240720,600158.SH,中体产业,XSHG
20240720,600400.SH,红豆股份,XSHG
20240720,600512.SH,腾达建设,XSHG
20240720,600626.SH,申达股份,XSHG
20240720,600869.SH,远东股份,XSHG
20240720,000420.SZ,吉林化纤,XSHE
20240720,600455.SH,博通股份,XSHG
20240720,600173.SH,卧龙地产,XSHG
20240720,600293.SH,三峡新材,XSHG
20240720,600367.SH,红星发展,XSHG
20240720,600436.SH,片仔癀,XSHG
20240720,600094.SH,大名城,XSHG
20240720,600460.SH,士兰微,XSHG
20240720,600305.SH,恒顺醋业,XSHG
20240720,600370.SH,三房巷,XSHG
20240720,600508.SH,上海能源,XSHG
20240720,002145.SZ,中核钛白,XSHE
20240720,600331.SH,宏达股份,XSHG
20240720,600521.SH,华海药业,XSHG
20240720,000768.SZ,中航西飞,XSHE
20240720,600641.SH,万业企业,XSHG
20240720,600525.SH,长园集团,XSHG
20240720,000576.SZ,甘化科工,XSHE
20240720,600323.SH,瀚蓝环境,XSHG
20240720,600156.SH,华升股份,XSHG
20240720,600650.SH,锦江在线,XSHG
20240720,600016.SH,民生银行,XSHG
20240720,600703.SH,三安光电,XSHG
20240720,600261.SH,阳光照明,XSHG
20240720,600461.SH,洪城环境,XSHG
20240720,600611.SH,大众交通,XSHG
20240720,600658.SH,电子城,XSHG
20240720,600727.SH,鲁北化工,XSHG
20240720,600688.SH,上海石化,XSHG
20240720,600272.SH,开开实业,XSHG
20240720,600085.SH,同仁堂,XSHG
20240720,600735.SH,新华锦,XSHG
20240720,600203.SH,福日电子,XSHG
20240720,600285.SH,羚锐制药,XSHG
20240720,600320.SH,振华重工,XSHG
20240720,600187.SH,国中水务,XSHG
20240720,600522.SH,中天科技,XSHG
