htsc_code,ymd,open,close,high,low,num_trades,volume
000156.SZ,20240801,6.3,6.29,6.38,6.26,10603,9182300.0
000156.SZ,20240802,6.24,6.22,6.32,6.2,10057,6810200.0
000156.SZ,20240805,6.18,6.18,6.35,6.18,12314,9895533.0
000156.SZ,20240806,6.24,6.26,6.31,6.16,8507,6120814.0
000156.SZ,20240807,6.23,6.25,6.29,6.22,7067,4784700.0
000156.SZ,20240808,6.23,6.32,6.33,6.17,10405,6827477.0
000420.SZ,20240801,3.28,3.29,3.32,3.26,19250,34862738.0
000420.SZ,20240802,3.27,3.25,3.34,3.24,17691,32848430.0
000420.SZ,20240805,3.24,3.14,3.28,3.14,24302,34575146.0
000420.SZ,20240806,3.19,3.19,3.21,3.16,15219,20735120.0
000420.SZ,20240807,3.18,3.18,3.21,3.16,11900,17335000.0
000420.SZ,20240808,3.18,3.2,3.26,3.13,23991,41277804.0
000576.SZ,20240801,6.05,6.06,6.14,6.03,7136,3211300.0
000576.SZ,20240802,6.01,5.97,6.14,5.95,7467,4120909.0
000576.SZ,20240805,5.94,5.8,6.03,5.8,7853,3773600.0
000576.SZ,20240806,5.81,6.01,6.05,5.81,7507,3997109.0
000576.SZ,20240807,6.03,6.08,6.14,5.95,6061,2855976.0
000576.SZ,20240808,6.06,5.95,6.12,5.85,6130,3022100.0
000768.SZ,20240801,26.1,25.93,26.69,25.8,44848,21700472.0
000768.SZ,20240802,25.66,25.63,26.28,25.6,34628,14434817.0
000768.SZ,20240805,25.5,25.21,26.26,25.21,48665,22711353.0
000768.SZ,20240806,25.4,25.89,26.21,25.4,40527,23597866.0
000768.SZ,20240807,25.88,25.88,26.2,25.77,27236,13431515.0
000768.SZ,20240808,25.74,25.02,25.91,24.85,46292,22108402.0
000955.SZ,20240801,2.92,2.96,3.0,2.9,5069,5890800.0
000955.SZ,20240802,2.92,2.95,3.0,2.92,4766,4726289.0
000955.SZ,20240805,2.94,2.91,3.01,2.91,5473,6619411.0
000955.SZ,20240806,2.95,2.96,2.97,2.91,4234,4015300.0
000955.SZ,20240807,2.96,2.95,2.99,2.91,5542,5180100.0
000955.SZ,20240808,2.95,2.98,2.99,2.93,4154,4667789.0
002145.SZ,20240801,3.43,3.4,3.47,3.38,17553,23944545.0
002145.SZ,20240802,3.39,3.36,3.42,3.35,16674,21607052.0
002145.SZ,20240805,3.36,3.28,3.39,3.28,18465,25985435.0
002145.SZ,20240806,3.31,3.33,3.36,3.28,16099,18877130.0
002145.SZ,20240807,3.33,3.32,3.33,3.29,11804,13647290.0
002145.SZ,20240808,3.3,3.33,3.36,3.27,15076,18111694.0
600000.SH,20240801,8.4,8.57,8.61,8.34,57118,54560150.0
600000.SH,20240802,8.56,8.47,8.6,8.4,33276,31361531.0
600000.SH,20240805,8.47,8.38,8.52,8.35,37977,41178838.0
600000.SH,20240806,8.43,8.24,8.45,8.19,42607,41604073.0
600000.SH,20240807,8.23,8.31,8.37,8.22,30387,26542223.0
600000.SH,20240808,8.36,8.38,8.45,8.29,35691,27669055.0
600011.SH,20240801,7.85,7.74,7.94,7.73,73068,116641732.0
600011.SH,20240802,7.68,7.54,7.74,7.49,74752,133055274.0
600011.SH,20240805,7.52,7.37,7.53,7.36,52989,75222822.0
600011.SH,20240806,7.42,7.52,7.52,7.35,51706,76705575.0
600011.SH,20240807,7.48,7.54,7.59,7.46,41467,53647247.0
600011.SH,20240808,7.53,7.43,7.55,7.41,32932,42480610.0
600015.SH,20240801,6.29,6.31,6.36,6.23,29296,35505606.0
600015.SH,20240802,6.29,6.26,6.31,6.26,20337,21545144.0
600015.SH,20240805,6.25,6.18,6.28,6.16,29973,33816681.0
600015.SH,20240806,6.21,6.16,6.23,6.13,24554,30243596.0
600015.SH,20240807,6.15,6.16,6.23,6.14,24625,32437629.0
600015.SH,20240808,6.16,6.17,6.19,6.15,20891,20816858.0
600016.SH,20240801,3.55,3.54,3.58,3.52,47238,181242368.0
600016.SH,20240802,3.53,3.53,3.55,3.52,34698,140089868.0
600016.SH,20240805,3.52,3.49,3.53,3.48,46500,174527861.0
600016.SH,20240806,3.5,3.48,3.52,3.45,43979,148880660.0
600016.SH,20240807,3.47,3.46,3.49,3.45,32115,111039726.0
600016.SH,20240808,3.46,3.44,3.46,3.43,31474,132347104.0
600018.SH,20240801,6.0,6.2,6.25,6.0,48606,46413891.0
600018.SH,20240802,6.19,6.17,6.21,6.1,33664,24362074.0
600018.SH,20240805,6.15,6.1,6.19,6.09,39938,31039337.0
600018.SH,20240806,6.08,6.03,6.12,5.94,33202,29275014.0
600018.SH,20240807,6.03,6.04,6.09,6.01,21538,17051170.0
600018.SH,20240808,6.04,6.06,6.08,6.01,23123,17756900.0
600037.SH,20240801,6.09,6.05,6.14,5.98,14999,13015000.0
600037.SH,20240802,6.03,6.0,6.09,5.98,14646,11187288.0
600037.SH,20240805,5.99,5.94,6.1,5.93,14737,11012527.0
600037.SH,20240806,5.97,6.0,6.03,5.94,12968,8739600.0
600037.SH,20240807,6.0,5.98,6.02,5.95,11352,5971000.0
600037.SH,20240808,5.97,6.07,6.09,5.94,12577,9220000.0
600039.SH,20240801,6.3,6.26,6.36,6.24,22972,20824360.0
600039.SH,20240802,6.23,6.26,6.31,6.21,14079,14051547.0
600039.SH,20240805,6.21,6.18,6.35,6.17,19231,19161332.0
600039.SH,20240806,6.21,6.21,6.23,6.1,16398,15631920.0
600039.SH,20240807,6.2,6.29,6.3,6.18,16094,16134215.0
600039.SH,20240808,6.28,6.23,6.29,6.18,15015,13426034.0
600079.SH,20240801,19.95,19.88,20.15,19.86,22558,9881111.0
600079.SH,20240802,19.85,20.1,20.47,19.84,30857,17594824.0
600079.SH,20240805,20.05,20.55,20.89,19.99,46805,23242983.0
600079.SH,20240806,20.43,20.6,20.95,20.37,32910,15909535.0
600079.SH,20240807,20.59,20.61,20.8,20.42,36808,14238953.0
600079.SH,20240808,20.6,20.41,20.88,20.3,45978,15149500.0
600081.SH,20240801,9.17,9.16,9.26,9.07,7527,4508413.0
600081.SH,20240802,9.12,9.06,9.29,9.05,7381,3735125.0
600081.SH,20240805,9.05,8.79,9.11,8.76,8002,3786500.0
600081.SH,20240806,8.8,8.81,8.92,8.72,5874,2681210.0
600081.SH,20240807,8.77,8.85,8.94,8.77,5097,2371180.0
600081.SH,20240808,8.77,8.64,8.82,8.56,6435,2863890.0
600085.SH,20240801,37.4,36.24,37.93,36.13,35290,15091498.0
600085.SH,20240802,36.07,36.29,36.9,35.9,22522,7920474.0
600085.SH,20240805,36.26,36.73,37.77,36.18,37375,15386549.0
600085.SH,20240806,36.92,37.34,37.78,36.54,30024,13032900.0
600085.SH,20240807,37.17,37.01,37.26,36.68,17789,7546738.0
600085.SH,20240808,36.9,37.37,37.77,36.76,24109,11316043.0
600094.SH,20240801,3.5,3.42,3.5,3.34,11627,22197303.0
600094.SH,20240802,3.4,3.66,3.73,3.37,20518,52282052.0
600094.SH,20240805,3.63,3.57,3.85,3.56,19590,47287606.0
600094.SH,20240806,3.59,3.63,3.69,3.49,16834,38050218.0
600094.SH,20240807,3.62,3.48,3.63,3.46,12252,23296218.0
600094.SH,20240808,3.48,3.45,3.55,3.43,10392,20087786.0
600095.SH,20240801,6.46,6.5,6.56,6.46,26987,27003500.0
600095.SH,20240802,6.46,6.49,6.71,6.44,27220,33924546.0
600095.SH,20240805,6.47,7.14,7.14,6.45,70913,152675226.0
600095.SH,20240806,7.5,6.88,7.79,6.75,80809,157653983.0
600095.SH,20240807,6.82,6.54,6.94,6.5,54860,107507170.0
600095.SH,20240808,6.48,6.44,6.61,6.41,36103,65331106.0
600098.SH,20240801,6.16,6.19,6.3,6.15,23037,15664664.0
600098.SH,20240802,6.18,6.13,6.21,6.12,16169,9248700.0
600098.SH,20240805,6.18,6.06,6.18,6.06,18546,13532264.0
600098.SH,20240806,6.12,6.18,6.19,6.06,16133,12606425.0
600098.SH,20240807,6.16,6.19,6.25,6.16,18520,10795210.0
600098.SH,20240808,6.18,6.17,6.22,6.16,15307,9329600.0
600099.SH,20240801,7.16,7.32,7.46,7.11,12135,16242796.0
600099.SH,20240802,7.24,7.05,7.4,7.02,9288,12240980.0
600099.SH,20240805,6.96,6.87,7.15,6.87,7217,9408900.0
600099.SH,20240806,6.95,7.27,7.27,6.86,9249,13107475.0
600099.SH,20240807,7.23,7.11,7.26,7.08,6506,7883705.0
600099.SH,20240808,7.06,7.05,7.18,7.01,5956,6341708.0
600101.SH,20240801,8.51,8.41,8.58,8.35,48480,41721040.0
600101.SH,20240802,8.3,8.2,8.4,8.18,39537,32366019.0
600101.SH,20240805,8.09,7.86,8.24,7.86,43530,32016324.0
600101.SH,20240806,7.99,8.17,8.21,7.88,42433,36331425.0
600101.SH,20240807,8.32,8.99,8.99,8.15,97121,107384874.0
600101.SH,20240808,8.91,8.76,9.35,8.66,118492,127686588.0
600130.SH,20240801,3.26,3.26,3.3,3.25,9830,11868212.0
600130.SH,20240802,3.26,3.25,3.46,3.23,14720,23030779.0
600130.SH,20240805,3.22,3.12,3.28,3.11,12519,17987200.0
600130.SH,20240806,3.17,3.18,3.19,3.14,7489,9708412.0
600130.SH,20240807,3.18,3.25,3.31,3.18,8215,14542001.0
600130.SH,20240808,3.22,3.24,3.25,3.17,7101,10893300.0
600132.SH,20240801,62.0,61.3,62.19,60.91,10255,2414006.0
600132.SH,20240802,61.07,61.32,62.08,60.9,9807,2314142.0
600132.SH,20240805,61.12,60.98,62.55,60.96,12760,3288617.0
600132.SH,20240806,61.0,61.39,61.84,60.81,8256,1725786.0
600132.SH,20240807,61.22,60.89,61.39,60.6,7535,1803445.0
600132.SH,20240808,60.76,61.95,62.2,60.07,13759,3516561.0
600156.SH,20240801,3.12,3.14,3.18,3.09,5367,6492600.0
600156.SH,20240802,3.11,3.14,3.21,3.1,4318,5218100.0
600156.SH,20240805,3.11,3.08,3.17,3.06,5624,5487400.0
600156.SH,20240806,3.09,3.18,3.2,3.09,4436,4702600.0
600156.SH,20240807,3.19,3.14,3.2,3.13,4001,3427800.0
600156.SH,20240808,3.17,3.25,3.26,3.13,5362,7006500.0
600158.SH,20240801,7.64,7.52,7.68,7.46,13540,12409352.0
600158.SH,20240802,7.49,7.41,7.55,7.41,11320,10006438.0
600158.SH,20240805,7.59,7.33,7.65,7.32,29249,22523900.0
