,name,timestamp,open,high,low,close,volume
0,TSLA,2024-07-25,216.8,226.0,216.231,220.25,100636466
1,TSLA,2024-07-24,225.42,225.99,214.71,215.99,167942939
2,TSLA,2024-07-23,253.6,255.7594,245.63,246.38,111928192
3,TSLA,2024-07-22,244.21,253.21,243.75,251.51,101225430
4,TSLA,2024-07-19,247.79,249.44,236.83,239.2,87403903
5,TSLA,2024-07-18,251.09,257.14,247.2,249.23,110869037
6,TSLA,2024-07-17,252.73,258.47,246.182,248.5,115584810
7,TSLA,2024-07-16,255.31,258.62,245.8001,256.56,126332470
8,TSLA,2024-07-15,255.97,265.6,251.73,252.64,146912920
9,TSLA,2024-07-12,235.8,251.84,233.0912,248.23,155955773
10,TSLA,2024-07-11,263.3,271.0,239.65,241.03,221707273
11,TSLA,2024-07-10,262.8,267.59,257.86,263.26,128519430
12,TSLA,2024-07-09,251.0,265.61,250.3,262.33,160742516
13,TSLA,2024-07-08,247.71,259.439,244.57,252.94,157219580
14,TSLA,2024-07-05,249.81,252.37,242.4601,251.52,154501152
15,TSLA,2024-07-03,234.56,248.35,234.25,246.39,166561471
16,TSLA,2024-07-02,218.89,231.3,218.06,231.26,205047920
17,TSLA,2024-07-01,201.02,213.23,200.85,209.86,135691395
18,TSLA,2024-06-28,199.55,203.2,195.26,197.88,95438068
19,TSLA,2024-06-27,195.17,198.72,194.05,197.42,72746521
20,TSLA,2024-06-26,186.54,197.755,186.36,196.37,95737066
21,TSLA,2024-06-25,184.4,187.97,182.01,187.35,63678265
22,TSLA,2024-06-24,184.97,188.8,182.55,182.58,61992070
23,TSLA,2024-06-21,182.3,183.95,180.69,183.01,63029482
24,TSLA,2024-06-20,184.68,185.21,179.66,181.57,55893139
25,TSLA,2024-06-18,186.56,187.2,182.37,184.86,68982265
26,TSLA,2024-06-17,177.92,188.81,177.0,187.44,109786083
27,TSLA,2024-06-14,185.8,186.0,176.92,178.01,82038194
28,TSLA,2024-06-13,188.39,191.08,181.23,182.47,118984122
29,TSLA,2024-06-12,171.12,180.55,169.8,177.29,90389446
30,TSLA,2024-06-11,173.92,174.75,167.41,170.66,64761928
31,TSLA,2024-06-10,176.06,178.57,173.17,173.79,50869682
32,TSLA,2024-06-07,176.13,179.35,175.58,177.48,56244932
33,TSLA,2024-06-06,174.6,179.73,172.73,177.94,69887024
34,TSLA,2024-06-05,175.35,176.15,172.13,175.0,57953756
35,TSLA,2024-06-04,174.775,177.755,174.0,174.77,60056340
36,TSLA,2024-06-03,178.13,182.6389,174.49,176.29,68568920
37,TSLA,2024-05-31,178.5,180.32,173.82,178.08,67314602
38,TSLA,2024-05-30,178.575,182.67,175.38,178.79,77784755
39,TSLA,2024-05-29,174.19,178.15,173.93,176.19,54782649
40,TSLA,2024-05-28,176.4,178.25,173.16,176.75,59736620
41,TSLA,2024-05-24,174.835,180.08,173.73,179.24,65584478
42,TSLA,2024-05-23,181.8,181.9,173.26,173.74,71975496
43,TSLA,2024-05-22,182.85,183.8,178.12,180.11,88313477
44,TSLA,2024-05-21,175.51,186.875,174.71,186.6,115266512
45,TSLA,2024-05-20,177.56,177.754,173.52,174.95,61727425
46,TSLA,2024-05-17,173.55,179.63,172.75,177.46,77445845
47,TSLA,2024-05-16,174.1,175.79,171.43,174.84,59812220
48,TSLA,2024-05-15,179.9,180.0,173.11,173.99,79662993
49,TSLA,2024-05-14,174.4959,179.49,174.07,177.55,86407422
50,TSLA,2024-05-13,170.0,175.4,169.0,171.89,67018903
51,TSLA,2024-05-10,173.05,173.0599,167.75,168.47,72627178
